yolov3-voc-snowman
Learning Rate: 0.001, Momentum: 0.9, Decay: 0.0005
Resizing
544
Loaded: 0.000025 seconds
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.514304, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.468768, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.253494, Class: 0.598988, Obj: 0.391841, No Obj: 0.470854, .5R: 0.200000, .75R: 0.000000,  count: 5
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.513663, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.472258, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.222490, Class: 0.572877, Obj: 0.505458, No Obj: 0.469387, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.513480, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.467852, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.182182, Class: 0.498750, Obj: 0.517318, No Obj: 0.468168, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.514538, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.468975, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.169231, Class: 0.740377, Obj: 0.448743, No Obj: 0.468339, .5R: 0.000000, .75R: 0.000000,  count: 7
Region 94 Avg IOU: 0.008431, Class: 0.714831, Obj: 0.325283, No Obj: 0.513467, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.468953, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.447016, Class: 0.522951, Obj: 0.473031, No Obj: 0.468830, .5R: 0.500000, .75R: 0.250000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.513352, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.470443, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.254248, Class: 0.516590, Obj: 0.398823, No Obj: 0.468673, .5R: 0.125000, .75R: 0.000000,  count: 8
Region 94 Avg IOU: 0.047646, Class: 0.576967, Obj: 0.097314, No Obj: 0.514929, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.469421, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.204053, Class: 0.470163, Obj: 0.441444, No Obj: 0.468235, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.513691, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.469457, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.405603, Class: 0.674290, Obj: 0.632967, No Obj: 0.470062, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.514216, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.470437, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.183175, Class: 0.536103, Obj: 0.636633, No Obj: 0.468118, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.513956, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.469077, .5R: -nan, .75R: -nan,  count: 0
4: 1650.826172, 1645.546143 avg, 0.000000 rate, 9.892212 seconds, 256 images
Loaded: 0.000028 seconds
Region 82 Avg IOU: 0.156227, Class: 0.544385, Obj: 0.757927, No Obj: 0.468891, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.513942, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.467390, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.210612, Class: 0.647713, Obj: 0.168767, No Obj: 0.468956, .5R: 0.181818, .75R: 0.000000,  count: 11
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.513708, .5R: -nan, .75R: -nan,  count: 0
